word,rarity,pos,Definition,Sentence
ass,1,noun,"Any of several species of horse-like animals, especially Equus asinus, the domesticated of which are used as beasts of burden.","In this section ""animal"" means any horse, cattle, ass, mule, sheep, pig, goat or dog."
ate,2,verb,simple past of eat,
auk,4,noun,Any of several species of Arctic sea birds of the family Alcidae.,
awe,3,noun,A feeling of fear and reverence.,
awl,4,noun,"A pointed instrument for piercing small holes, as in leather or wood; used by shoemakers, saddlers, cabinetmakers, etc. The blade is differently shaped and pointed for different uses, as in the brad awl, saddler's awl, shoemaker's awl, etc.","He dressed himself in some old ragged clothes, and took a tame white bear, which he had, with him, as well as an awl, some pitch, and twine."
awn,4,noun,"The bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista.",
axe,3,noun,"A tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it.",
aye,3,intj,"Yes; yea; a word expressing assent, or an affirmative answer to a question.",
baa,3,noun,The characteristic cry or bleating of a sheep.,
bad,1,adj,Of low quality.,That movie was really bad!
bag,2,noun,"A soft container made out of cloth, paper, thin plastic, etc. and open at the top, used to hold food, commodities, and other goods.",
bah,3,noun,Alternative spelling of baa.,
ban,2,verb,To prohibit; to interdict; to proscribe; to forbid or block from participation.,
bap,3,noun,"A soft bread roll, originally from Scotland.",
bar,2,noun,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.",
bat,2,noun,A flying mammal; also a piece of sporting equipment used to hit a ball.,A bat flew out of the cave at dusk.
bay,2,noun,A body of water (especially the sea) contained by a concave shoreline.,This hotel has a great view across the bay.
bed,1,noun,"A piece of furniture, usually flat and soft, on which to rest or sleep.",My cat often sleeps on my bed.
bee,2,noun,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey.","An angry Wasp th'one in a viall had, / Th'other in hers an hony-laden Bee."
beg,2,verb,"To request the help of someone, often in the form of money.",
bet,2,noun,"A wager, an agreement between two parties that a stake (usually money) will be paid by the loser to the winner (the winner being the one who correctly forecast the outcome of an event).",Dylan owes Fletcher $30 from an unsuccessful bet.
bey,3,noun,A governor of a province or district in the Turkish (e.g. Ottoman) dominions.,
bib,3,noun,An item of clothing for people (especially babies) tied around their neck to protect their clothes from getting dirty when eating.,
bid,2,verb,To issue a command; to tell.,
big,1,adj,"Of great size, large.","Elephants are big animals, and they eat a lot."
bin,2,noun,"A box, frame, crib, or enclosed place, used as a storage container.",
bio,4,noun,A short account of a person's life.,Her bio describes her work as an artist.
bis,3,noun,plural of bi,
bit,1,noun,A piece of metal placed in a horse's mouth and connected to the reins to direct the animal.,A horse hates having a bit put in its mouth.
biz,3,noun,"Business, especially showbusiness.",
boa,3,noun,"Any of a group of large American snakes, of the genus Boa, subfamily Boinae, or family Boidae, including the boa constrictor and the emperor boa of Mexico.",
bob,2,verb,"To move gently and vertically, in either a single motion or repeatedly up and down, at or near the surface of a body of water, or similar medium.",
bod,3,noun,The body.,Fred likes to keep his bod in shape.
bog,3,noun,An area of decayed vegetation (particularly sphagnum moss) which forms a wet spongy ground too soft for walking.,Bog may by draining be made Meadow.
boo,3,noun,A derisive shout made to indicate disapproval.,
bop,3,noun,"A very light smack, blow or punch.",
bot,4,noun,"The larva of a botfly, which infests the skin of various mammals, producing warbles, or the nasal passage of sheep, or the stomach of horses.",
bow,2,noun,"A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.",
box,1,noun,"Senses relating to a three-dimensional object or space. A cuboid space; a cuboid container, often with a hinged lid.",
boy,1,noun,A male child.,"I find I was mistaken in the sex, it is a boy."
bra,3,noun,"An item of clothing, usually underwear worn to support the breasts.","Her housecoat had fallen open. She was wearing only panties and bra, which did nothing to make her scrawny, wrinkled body appealing."
bro,4,noun,Brother (a male sibling).,My mom took my lil' bro to soccer practice now and she wanted me to pick him up.
brr,3,intj,"Used to express being cold, to show shivering.",
bub,3,noun,"An alcoholic malt liquor, especially beer.",
bud,2,noun,A newly sprouted leaf or blossom that has not yet unfolded.,
bug,2,noun,An insect of the order Hemiptera (the “true bugs”).,
bum,3,noun,The buttocks.,"Okay, everyone sit on your bum and try and touch your toes."
bun,3,noun,Senses referring to baked goods. A small bread roll that is sweetened or spiced.,
bur,3,noun,"A rough, prickly husk around the seeds or fruit of some plants.",
bus,2,noun,A motor vehicle for transporting large numbers of people along roads.,
but,1,prep,"Apart from, except (for), excluding.",Everyone but Father left early.
buy,1,verb,To obtain (something) in exchange for money or goods.,"Who'd Father buy the car for? He bought it for me, not for you."
bye,2,noun,"The position of a person or team in a tournament or competition who draws no opponent in a particular round so advances to the next round unopposed, or is awarded points for a win in a league table; also the phantom opponent of such a person or team.",Craig's Crew plays the bye next week.
cab,3,noun,A compartment at the front of a truck or train for the driver.,
cad,3,noun,"A low-bred, presuming person; a mean, vulgar fellow, especially one that cannot be trusted with a lady.","I make him sound like a cad, but he’s not. Early on, when I fell seriously ill, he cared for me devotedly. He’s witty, sweet, a great cook and easy on the eyes."
cam,2,noun,"A turning or sliding piece which imparts motion to a rod, lever or block brought into sliding or rolling contact with it.",
can,1,verb,To be able to do something.,I can swim across the pool.
cap,2,noun,"A close-fitting hat, either brimless or peaked.",
car,1,noun,"A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation but relatively smaller than a truck/lorry and a bus.",He drove his car to the theatre.
cat,2,noun,A small domesticated feline often kept as a pet; also a member of the wider cat family.,The cat curled up on the sofa.
caw,4,noun,The harsh cry of a crow.,
cay,3,noun,"A small, low island largely made of sand or coral.",
chi,3,noun,The twenty-second letter of the Classical and Modern Greek alphabets.,
cis,4,adj,Having two mutations on two genes on the same chromosome of a homologous pair.,
cob,3,noun,A corncob.,"Dad had placed a cob of corn on a stump for the jays, who bickered over it non-stop."
cod,3,noun,A type of sea fish or the meat from said fish. An Atlantic cod (Gadus morhua).,
cog,3,noun,A tooth on a gear.,
col,3,noun,A dip on a mountain ridge between two peaks.,Turn left through a gate in the right angle of the wall and drop down to a col before climbing up the hill.
con,2,verb,"To study or examine carefully, especially in order to gain knowledge of; to learn, or learn by heart.",I did not come into parliament to con my lesson. I had earned my pension before I set my foot in St. Stephen's chapel.
coo,3,noun,The murmuring sound made by a dove or pigeon.,
cop,2,verb,to capture or arrest someone,
cor,3,noun,"Any of various former units of volume A Hebrew unit of liquid volume, about equal to 230 L or 60 gallons.",
cos,2,noun,"Synonym of romaine lettuce, a long-leaved variety of lettuce.",
cot,3,noun,"A simple bed, especially one for portable or temporary purposes.",
cow,2,noun,"An adult female of the species Bos taurus, especially one that has calved.",
cox,3,noun,"A coxswain of a boat, especially of a racing crew.",
coy,3,adj,"Bashful, shy, retiring.",
cry,2,verb,"To shed tears; to weep, especially in anger or sadness.",That sad movie always makes me cry.
cub,3,noun,"The young of certain animals, chiefly large carnivorous mammals, including the bear, wolf, fox, lion and tiger.",
cud,4,noun,"The portion of food which is brought back into the mouth by ruminants from their rumen, to be chewed a second time.",
cue,3,noun,The name of the Latin-script letter Q/q.,"""My name is Quinn,"" said Quinn. ""Cue-you-eye-en-en."""
cum,4,prep,"Used in indicating a thing or person which has two or more roles, functions, or natures, or which has changed from one to another.","He built a bus-cum-greenhouse that made a bold statement, but the plants in it didn't live very long."
cup,1,noun,"A concave vessel for drinking, usually made of opaque material (as opposed to a glass) and with a handle.",Pour the tea into the cup.
cur,3,noun,A contemptible or inferior dog.,"""You have no more spirit than a mongrel cur. You lie down on the ground and ask people to trample on you."""
cut,1,verb,"To incise, to cut into the surface of something. To perform an incision on, for example with a knife.",You must cut this flesh from off his breast.
dab,3,verb,To press lightly in a repetitive motion with a soft object without rubbing.,Dab the tears from your eyes.
dad,2,noun,"A father, a male parent.",His dad was always there for him.
dag,3,noun,"A hanging end or shred, in particular a long pointed strip of cloth at the edge of a piece of clothing, or one of a row of decorative strips of cloth that may ornament a tent, booth or fairground.",
dam,2,noun,"A structure placed across a flowing body of water to stop the flow or part of the flow, generally for purposes such as retaining or diverting some of the water or retarding the release of accumulated water to avoid abrupt flooding.",A dam is often an essential source of water to farmers of hilly country.
day,1,noun,The time when the Sun is above the horizon and it lights the sky.,
deb,3,noun,A debutante (a young woman who makes her first formal appearance in society).,"Josie Powell that was, prettiest deb in Dublin. How time flies by!"
def,4,adj,Excellent; very good.,You real def. I’m gonna put you on stage.
den,2,noun,"A small cavern or hollow place in the side of a hill, or among rocks; especially, a cave used by a wild animal for shelter or concealment.",Daniel was put into the lions’ den.
dew,3,noun,Any moisture from the atmosphere condensed by cool bodies upon their surfaces.,
did,1,verb,simple past of do. Meaning: To perform an action or carry out a task.,"Jeez, did I make a mistake!"
die,1,verb,To stop living; to become dead; to undergo death.,
dig,2,verb,"To move hard-packed earth out of the way, especially downward to make a hole with a shovel. Or to drill, or the like, through rocks, roads, or the like. More generally, to make any similar hole by moving material out of the way.","In the wintertime, heavy truck tires dig into the road, forming potholes."
dim,3,adj,Not bright or colorful.,The lighting was too dim for me to make out his facial features.
din,3,noun,A loud noise; a cacophony or loud commotion.,Think you a little din can daunt mine ears?
dip,2,noun,A lower section of a road or geological feature.,There is a dip in the road ahead.
dis,3,verb,"Alternative spelling of diss. Meaning: To put (someone) down, or show disrespect by the use of insulting language or dismissive behaviour.","Yet the neo-Luddite resistance is remarkably disparate. Some flee to the woods; others, taking a less courageous stand, are content to dis the microwave oven and cellular phone."
dob,3,verb,"To report a person to someone in authority for a wrongdoing. (For transitive forms see dob in, dob on.).",
doc,2,noun,A doctor.,
doe,3,noun,"A female deer; also used of similar animals such as antelope (less commonly a goat, as nanny is also used).","A doe from round a spruce stood looking at them Across the wall, as near the wall as they. She saw them in their field, they her in hers."
dog,1,noun,"A domesticated animal related to the wolf, often kept as a pet or working animal.",The dog waited by the door.
don,2,noun,"A university professor, particularly one at Oxford or Cambridge.",
dos,3,noun,plural of do,
dot,2,noun,"A small, round spot.","Long stood Sir Bedivere / Revolving many memories, till the hull / Look’d one black dot against the verge of dawn / And on the mere the wailing died away."
dry,2,adj,Free from or lacking moisture.,This towel's dry. Could you wet it and cover the chicken so it doesn't go dry as it cooks?
dub,3,verb,"To confer knighthood; the conclusion of the ceremony was marked by a tap on the shoulder with a sword, the accolade.",
dud,3,noun,"A device or machine that is useless because it does not work properly or has failed to work, such as a bomb, or explosive projectile.",
due,1,adj,Owed or owing.,He is due four weeks of back pay.
dug,3,verb,simple past and past participle of dig (replacing earlier digged),
duh,3,intj,A disdainful indication that something is obvious.,
dun,3,noun,A brownish grey colour.,
duo,2,noun,Two people who work or collaborate together as partners; especially,
dye,3,noun,"A colourant, especially one that has an affinity to the substrate to which it is applied.",
ear,2,noun,"The organ of hearing, consisting of the pinna or auricle, auditory canal, eardrum, malleus, incus, stapes and cochlea.",
eat,1,verb,"To ingest; to be ingested. To consume (something solid or semi-solid, usually food) by putting it into the mouth and swallowing it.",
ebb,3,noun,The receding movement of the tide.,The boats will go out on the ebb.
ecu,4,noun,"The European Currency Unit (symbol ₠), a currency used in the European Community before the euro.",
eek,4,verb,"To produce a high-pitched squeal, as in fear or trepidation.",
eel,3,noun,"Any freshwater fish of the order Anguilliformes, which are elongated and resemble snakes.",
eff,4,noun,Alternative spelling of ef; the name of the Latin-script letter F/f. Meaning: The name of the Latin-script letter F/f.,
egg,2,noun,"An approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development.",
ego,2,noun,"The self, especially with a sense of self-importance.",
eke,4,noun,An addition.,
elf,3,noun,"A supernatural being or spirit associated with illness, mischief, and harmful or dangerous magical influence; in later Norse sources, sometimes divided into benevolent light elves (inhabiting Álfheimr) and malevolent dark elves.","Every elf, and fairy sprite, / Hop as light as bird from brier."
elk,3,noun,"Any of various large species of deer such as the red deer, moose or wapiti (see usage notes). Any of the subspecies of the moose (Alces alces, the largest member of the deer family, alternatively named Eurasian elk to avoid confusion with the wapiti), that occurs only in Europe and Asia.",
ell,3,noun,"A measure of length. An English ell was 1¼ yards (45 inches or 114 cm), a Scottish ell was about 37 inches (94 cm), a Flemish ell was ¾ yard (27 inches or 69 cm), while certain European ells were less than 50 cm.","A homely proverb recognises the existence of a troublesome class of persons who, having an inch conceded them, will take an ell."
elm,3,noun,"A tree of the genus Ulmus of the family Ulmaceae, large deciduous trees with alternate stipulate leaves and small apetalous flowers.",
emo,4,noun,A particular style of hardcore punk rock.,
emu,3,noun,"A large flightless bird native to Australia, Dromaius novaehollandiae.",
end,1,noun,The terminal point of something in space or time.,At the end of the garden there was a beautiful fountain.
ens,4,noun,"An entity or being; an existing thing, as opposed to a quality or attribute.",
eon,3,noun,"Eternity, the duration of the universe.",
era,2,noun,"A time period of indeterminate length, generally more than one year.",
ere,3,contraction,"A contraction of is, there, and the indefinite article. Mainly used in questions.","'Ere bit o' bacon in it, Kathleen?"
erg,4,noun,"A unit of work or energy, being the amount of work done by a force of one dyne applied through a distance of one centimeter. Equal to 10⁻⁷ joules.",
err,3,verb,To make a mistake.,"Artificial tests, then, can hardly err on the side of supplying too many opportunities for one bird to see another perform the act which is the model."
eta,3,noun,"The seventh letter of the Modern Greek alphabet, the eighth in Old Greek.",
eve,2,noun,"The day or night before, usually used for holidays, such as Christmas Eve.",
ewe,3,noun,"A female sheep, as opposed to a ram.",
eye,1,noun,An organ through which animals see (“perceive surroundings via light”).,It is scarcely possible to avoid comparing the eye to a telescope.
fab,4,adj,Fabulous (great or spectacular).,
fad,3,noun,A phenomenon that becomes popular for a very short time.,"You're a fad, that means you're something that we've already had, but once you're gone, you don't come back."
fag,3,noun,"In textile inspections, a rough or coarse defect in the woven fabric.",
fan,2,noun,"A hand-held device consisting of concertinaed material, or slats of material, gathered together at one end, that may be opened out into the shape of a sector of a circle and waved back and forth in order to move air towards oneself and cool oneself.",
far,1,adj,Distant; remote in space.,He went to a far land.
fat,2,adj,Thick; large.,
fax,3,noun,The face.,The fillok hyr deformyt fax wald haue a fair face.
fay,3,verb,To join (pieces of timber) tightly. The long edges of the staves of a barrel have to be fayed so that when it is assembled it will not leak.,"I have a strip cutter and I can cut the exact widths I need to fit, they are easy to fay together and attach very firmly to the bulkheads."
fed,2,noun,A federal government officer or official.,That corrupt fed was caught taking bribes from a mobster!
fee,2,noun,An amount charged for a privilege.,
fen,3,noun,"A type of wetland fed by ground water and runoff, containing peat below the waterline, characteristically alkaline.",
few,1,pron,"Few people, few things.","Many are called, but few are chosen."
fey,3,adj,"Possessing second sight, clairvoyance, or clairaudience.",
fez,3,noun,"A felt hat in the shape of a truncated cone, having a flat top with a tassel attached.","He was in his shirt, but he still wore his fez, as though he had gone to bed in it, which was probably the case."
fib,4,noun,"A lie, especially one that is more or less inconsequential.",
fig,2,noun,"The fruit of the fig tree, pear-shaped and containing many small seeds.",
fin,3,noun,"One of the appendages of a fish, used to propel itself and to manoeuvre/maneuver.",
fir,3,noun,A conifer of the genus Abies.,
fit,2,adj,Suitable; proper,You have nothing to say about it. I'll do exactly as I see fit.
fix,2,verb,To attach; to affix; to hold in place or at a particular time.,A leech can fix itself to your skin without you feeling it.
flu,3,noun,Influenza.,He missed work because he caught the flu.
fly,2,noun,"Any insect of the order Diptera; characterized by having two wings (except for some wingless species), also called true flies.",
fob,3,noun,"A little pocket near the waistline of a pair of trousers or in a waistcoat or vest to hold money or valuables, especially a pocket watch.",With a saint at his chin and a seal at his fob.
foe,3,noun,An enemy.,
fog,3,noun,A thick cloud that forms near the ground; the obscurity of such a cloud.,
fop,4,noun,A vain man; a dandy.,
for,1,conj,Because.,"I had to stay with my wicked stepmother, for I had nowhere else to go."
fox,2,noun,"A small-to-medium-sized canine mammal, related to dogs and wolves, with a flattened skull, upright triangular ears, a pointed, slightly upturned snout, and a long bushy tail, of the following groups: Any member of the genus Vulpes; a true fox.",
fro,3,adv,From; away; back or backward.,
fry,3,verb,A method of cooking food. To cook (something) in hot fat.,
fug,4,noun,"A heavy, musty, stuffy or unpleasant atmosphere, usually in a poorly-ventilated area.","'Made one quite thankful to get back to the fug, though as a rule I think the way these trains are overheated is something scandalous'."
fun,1,noun,"Amusement, enjoyment or pleasure.","Grafting your boss's face onto the hind end of a donkey is fun, but serious fun is when you create the impossible and it looks real."
fur,2,noun,"The hairy coat of various mammal species, especially when fine, soft and thick.",
gab,3,noun,Idle chatter.,
gad,3,verb,To move from one location to another in an apparently random and frivolous manner.,
gag,3,noun,"A device to restrain speech, such as a rag in the mouth secured with tape or a rubber ball threaded onto a cord or strap.","Blood may seep to the back of the throat and may clot, producing an “artificial gag” of clotted blood."
gal,3,noun,An informal word for a girl or woman.,That gal has a wonderful singing voice.
gap,2,noun,An opening in anything made by breaking or parting.,He made a gap in the fence by kicking at a weak spot.
gar,3,noun,"Any of several North American fish of the family Lepisosteidae that have long, narrow jaws.",
gas,1,noun,"Matter in an intermediate state between liquid and plasma that can be contained only if it is fully surrounded by a solid (or in a bubble of liquid, or held together by gravitational pull); it can condense into a liquid, or can (rarely) become a solid directly by deposition.",A lot of gas had escaped from the cylinder.
gay,2,adj,Homosexual: Only possessing sexual and/or romantic attraction towards people one perceives to be the same sex or gender as oneself.,
gee,3,verb,"Of a horse, pack animal, etc.: to move forward; go faster; or turn in a direction away from the driver, typically to the right.",This horse won’t gee when I tell him to.
gel,3,noun,"A semi-solid to almost solid colloid of a solid and a liquid, such as jelly, cheese or opal.",
gem,3,noun,"A precious stone, usually of substantial monetary value or prized for its beauty or shine.",
gen,2,noun,Information.,
get,1,verb,To obtain; to acquire.,I'm going to get a computer tomorrow from the discount store.
gig,3,noun,"Originally (music), a performing engagement by a musician or musical group; (by extension, film, television, theater) a job or role for a performer.","Hey, when are we gonna get that hotel gig again?"
gin,3,noun,"A colourless non-aged alcoholic liquor made by distilling fermented grains such as barley, corn, oats or rye with juniper berries; the base for many cocktails.",
git,3,noun,"A silly, incompetent, stupid, or annoying person (usually a man).","Bit of a flash git, don't you think?"
gnu,3,noun,"A large antelope of the genus Connochaetes, native to Africa, having curved horns.",
gob,3,noun,A lump of soft or sticky material.,
god,1,noun,"A deity or supreme being; a supernatural, typically immortal, being with superior powers, to which personhood is attributed.",The most frequently used name for the Islamic god is Allah.
goo,3,noun,"Any semi-solid or liquid substance; especially one that is sticky, gummy or slippery, unpleasant, and of vague or unknown composition, such as slime or semen.",I stepped in some goo and had a terrible time getting the sticky stuff off my shoes.
got,1,verb,Expressing obligation; used with have.,I can’t go out tonight: I’ve got to study for my exams.
gum,3,noun,The flesh around the teeth.,
gun,2,noun,"A device for shooting projectiles or ditto (a shooter), functioning through stored energy: a firearm, cannon, harpoon gun/spear gun, raygun, etc, not a bow and arrow, or slingshot.","Looking for wild meat to fill his family's freezer for the winter, the young man quietly raised up his gun at the approaching deer."
gut,2,noun,"The alimentary canal, especially the intestine.",
guv,3,noun,"A form of address to a man, usually a stranger or a superior.",
guy,1,noun,An effigy of a man burned on a bonfire on the anniversary of the Gunpowder Plot (5th November).,
gym,2,noun,"A sports facility specialized for lifting weights, cardio machines, and other exercise (culturally differentiated from sense 1).","Pete, I want to work out. Where is the gym?"
gyp,4,noun,Synonym of gypsy (“contra dance step”).,
had,1,verb,simple past and past participle of have,This morning I had an egg for breakfast.
hag,3,noun,"A witch, sorceress, or enchantress; a female wizard.",
haj,4,noun,Alternative spelling of hajj. Meaning: The pilgrimage to Mecca made by pious Muslims; the fifth of the five pillars of Islam.,"""The defendant has also piloted planes taking haj pilgrims from Indonesia to Saudi Arabia and Saudi Arabia to Indonesia."
ham,2,noun,The region back of the knee joint; the popliteal space; the hock.,
hap,3,noun,"A person's lot (good or bad), luck, fortune, fate.",
has,1,verb,third-person singular simple present indicative of have,The French Revolution has influenced popular movements since the 1800s.
hat,2,noun,"A covering for the head, often in the approximate form of a cone, dome or cylinder closed at its top end, and sometimes having a brim and other decoration.","There was a neat hat-and-umbrella stand, and the stranger's weary feet fell soft on a good, serviceable dark-red drugget, which matched in colour the flock-paper on the walls."
haw,3,verb,"To stop, in speaking, with a sound like haw; to speak with interruption and hesitation.",
hay,3,noun,Grass cut and dried for use as animal fodder.,Make hay while sunne shines.
hem,3,noun,"An utterance or sound of the voice like ""hem"", often indicative of hesitation or doubt, sometimes used to call attention.",
hen,3,noun,"A female chicken (Gallus gallus), especially a sexually mature one kept for her eggs.",
hep,3,noun,hepatitis.,
her,1,pron,"The form of she used after a preposition, as the object of a verb, or (colloquial) as a subject with a conjunction; that woman, that ship, etc, or (dialect) as a subject without a conjunction.",
hew,4,verb,To chop away at; to whittle down; to mow down.,"A favourite at the Old Bailey, and eke at the Sessions, Mr. Stryver had begun cautiously to hew away the lower staves of the ladder on which he mounted."
hex,3,verb,"To cast a spell on (specifically an evil spell), to bewitch.",
hey,1,verb,"To greet with a ""hey""",
hid,3,verb,simple past of hide,
hie,4,verb,"To hasten; to go quickly, to hurry.",
him,1,pron,A masculine pronoun; he as a grammatical object. With dative effect or as an indirect object.,"‘I promise,’ he said as I gave him the papers."
hip,2,noun,The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.,
his,1,pron,"That or those belonging to him; the possessive case of he, used without a following noun.",This pen is his. These books are also his.
hit,1,verb,"To strike. To administer a blow to, directly or with a weapon or missile.",One boy hit the other.
hmm,2,verb,To make a thoughtful humming noise.,
hob,3,noun,"A kind of cutting tool, used to cut the teeth of a gear.",
hod,4,noun,"A three-sided box mounted on a pole for carrying bricks, mortar, or other construction materials over the shoulder.","A fork and a hooke, to be tampring in claie, / a lath hammer, trowel, a hod, or a traie."
hoe,3,noun,"Any of various tools for scraping, scratching, digging, or stirring soil or other materials. An agricultural and horticultural hand tool consisting of a long handle with a flat blade fixed perpendicular to it at the end, used for digging rows or removing weeds by hand.",It was obvious that it consisted of several blows to the head from the hoe.
hog,3,noun,"Any animal belonging to the Suidae family of mammals, especially the pig, the warthog, and the boar.",
hon,3,noun,"A term of endearment; Honey, sweetheart","Hey, hon! How was your day at work?"
hop,2,noun,A short jump.,
hot,1,adj,Relating to heat and conditions which produce it. Having or giving off a high temperature.,He forgot that the frying pan was hot and burned his hand.
how,1,adv,To what degree or extent.,How often do you practice?
hub,2,noun,"The central part, usually cylindrical, of a wheel; the nave.","If you need to reload film, the cassette can be rewound slightly by turning the hub located on one end of its spool."
hue,3,noun,"A color, or shade of color; tint; dye.",
hug,2,noun,"A close embrace, especially when charged with an emotion such as affection, joy, relief, lust, anger, aggression, compassion, and the like, as opposed to being characterized by formality, equivocation or ambivalence (a half-embrace or ""little hug"").",
huh,2,intj,An exclamation expressing confusion or asking for something to be repeated.,
hum,3,noun,"A hummed tune, i.e. created orally with lips closed.",
hut,3,noun,"A small, simple one-storey dwelling or shelter, often with just one room, and generally built of readily available local materials.",
ice,1,noun,Water in frozen (solid) form.,
icy,3,adj,"Pertaining to, resembling, or abounding in ice; cold; frosty.",
ilk,3,adj,Very; same.,
ill,2,adj,"Indicative of unkind or malevolent intentions; harsh, cruel.",He suffered from ill treatment.
imp,3,verb,"To engraft (a feather) on to a broken feather in a bird's wing or tail to repair it; to engraft (feathers) on to a bird, or a bird's wing or tail.",
ink,2,noun,"A pigment (or dye)-based fluid used for writing, printing etc.",This form should be filled out in ink.
inn,2,noun,"Any establishment where travellers can procure lodging, food, and drink.",
ins,3,noun,plural of in,
ion,2,noun,"An atom or group of atoms bearing an electrical charge, such as the sodium and chlorine atoms in a salt solution.",
ire,3,noun,Great anger; wrath; keen resentment.,"Or Neptune's ire, or Juno's, that so long Perplex'd the Greek and Cytherea's son."
irk,4,verb,to irritate; annoy; bother,"Let no man pray to Māna-Yood-Sushāī, for who shall trouble Māna with mortal woes or irk him with the sorrows of all the houses of Earth?"
ism,3,noun,"An ideology, system of thought, or practice that can be described by a word ending in -ism.",Isms in my opinion are not good. A person should not believe in an ism – he should believe in himself.
its,1,pron,The one (or ones) belonging to it.,EBay Canada argued in court that the data sought by tax collectors was not its to give.
ivy,3,noun,"Any of several woody, climbing, or trailing evergreen plants of the genus Hedera.",
jab,3,noun,A quick stab or blow; a poking or thrusting motion.,"He tore in for the ball, make a running jab for it and held it."
jag,3,noun,A sharp projection.,"The thick black cloud was cleft, and still / The Moon was at its side; / Like waters shot from some high crag, / The lightning fell with never a jag, / A river steep and wide."
jam,2,noun,A sweet mixture of fruit boiled with sugar and allowed to congeal. Often spread on bread or toast or used in jam tarts,He is allergic to jam.
jar,3,noun,"An earthenware container, either with two or no handles, for holding oil, water, wine, etc., or used for burial.",She refilled the jar with peanuts today evening.
jaw,3,noun,"One of the bones, usually bearing teeth, which form the framework of the mouth.",
